No.	Name	Chromosome No./Scaffold Id	BLAST (UniRef)	Gene ontology		
	1833 bp					
6234	KWMTBOMO06234	Bomo_Chr11	hypothetical_protein_KGM_01363_[Danaus_plexippus]	GO:0046872	F	metal ion binding
	1377 bp					
6235	KWMTBOMO06235	Bomo_Chr11	PREDICTED:_xaa-Pro_aminopeptidase_1_[Bombyx_mori]	GO:0016787	F	hydrolase activity
	2025 bp					
6236	KWMTBOMO06236	Bomo_Chr11	PREDICTED:_histone_chaperone_asf1_[Papilio_polytes]	GO:0005634	C	nucleus
	651 bp			GO:0006333	P	chromatin assembly or disassembly
6237	KWMTBOMO06237	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101744779_[Bombyx_mori]			
	2460 bp					
6238	KWMTBOMO06238	Bomo_Chr11	PREDICTED:_heat_shock_protein_68-like_[Bombyx_mori]	GO:0008237	F	metallopeptidase activity
	4815 bp			GO:0004222	F	metalloendopeptidase activity
				GO:0006508	P	proteolysis
6239	KWMTBOMO06239	Bomo_Chr11	PREDICTED:_putative_aminopeptidase_W07G4.4_[Papilio_polytes]	GO:0004177	F	aminopeptidase activity
	1533 bp			GO:0005622	C	intracellular
				GO:0006508	P	proteolysis
				GO:0005737	C	cytoplasm
				GO:0008235	F	metalloexopeptidase activity
				GO:0019538	P	protein metabolic process
				GO:0030145	F	manganese ion binding
6240	KWMTBOMO06240	Bomo_Chr11	PREDICTED:_zinc_finger_protein_Xfin-like_[Bombyx_mori]	GO:0046872	F	metal ion binding
	2547 bp					
6241	KWMTBOMO06241	Bomo_Chr11	PREDICTED:_zinc_finger_protein_Xfin-like_[Bombyx_mori]	GO:0046872	F	metal ion binding
	1572 bp			GO:0003676	F	nucleic acid binding
6242	KWMTBOMO06242	Bomo_Chr11	"PREDICTED:_28S_ribosomal_protein_S35,_mitochondrial_[Plutella_xylostella]"			
	1032 bp					
6243	KWMTBOMO06243	Bomo_Chr11	PREDICTED:_COMM_domain-containing_protein_5-like_[Amyelois_transitella]			
	624 bp					
6244	KWMTBOMO06244	Bomo_Chr11	cleavage_and_polyadenylation_specific_factor_5_[Bombyx_mori]	GO:0003729	F	mRNA binding
	600 bp			GO:0005849	C	mRNA cleavage factor complex
				GO:0006378	P	mRNA polyadenylation
				GO:0016787	F	hydrolase activity
6245	KWMTBOMO06245	Bomo_Chr11	AF461149_1_transposase_[Bombyx_mori]	GO:0003677	F	DNA binding
	933 bp					
6246	KWMTBOMO06246	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC106133708_[Amyelois_transitella]	GO:0016021	C	integral to membrane
	3168 bp					
6247	KWMTBOMO06247	Bomo_Chr11	PREDICTED:_GDNF-inducible_zinc_finger_protein_1-like_isoform_X2_[Bombyx_mori]	GO:0046872	F	metal ion binding
	1596 bp			GO:0003676	F	nucleic acid binding
6248	KWMTBOMO06248	Bomo_Chr11	PREDICTED:_oxysterol-binding_protein-related_protein_8-like_[Amyelois_transitella]			
	2571 bp					
6249	KWMTBOMO06249	Bomo_Chr11	PREDICTED:_protein_PFC0760c-like_[Bombyx_mori]			
	783 bp					
6250	KWMTBOMO06250	Bomo_Chr11	PREDICTED:_oocyte_zinc_finger_protein_XlCOF6_[Bombyx_mori]	GO:0046872	F	metal ion binding
	1494 bp			GO:0003676	F	nucleic acid binding
6251	KWMTBOMO06251	Bomo_Chr11	hypothetical_protein_KGM_10146_[Danaus_plexippus]			
	279 bp					
6252	KWMTBOMO06252	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101747137_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	4716 bp			GO:0015074	P	DNA integration
6253	KWMTBOMO06253	Bomo_Chr11	PREDICTED:_UPF0547_protein_C16orf87_homolog_isoform_X1_[Amyelois_transitella]			
	339 bp					
6254	KWMTBOMO06254	Bomo_Chr11	PREDICTED:_carboxylesterase_5A-like_[Bombyx_mori]			
	2958 bp					
6255	KWMTBOMO06255	Bomo_Chr11	PREDICTED:_probable_polyamine_oxidase_5_[Bombyx_mori]	GO:0016491	F	oxidoreductase activity
	1626 bp					
6256	KWMTBOMO06256	Bomo_Chr11	PREDICTED:_zinc_finger_protein_484-like_isoform_X2_[Bombyx_mori]	GO:0046872	F	metal ion binding
	792 bp			GO:0003676	F	nucleic acid binding
6257	KWMTBOMO06257	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC106133688_[Amyelois_transitella]			
	252 bp					
6258	KWMTBOMO06258	Bomo_Chr11	PREDICTED:_protein_LLP_homolog_[Bombyx_mori]			
	420 bp					
6259	KWMTBOMO06259	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101745796_[Bombyx_mori]	GO:0005515	F	protein binding
	2271 bp					
6260	KWMTBOMO06260	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC105841964_[Bombyx_mori]			
	840 bp					
6261	KWMTBOMO06261	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101741272_[Bombyx_mori]			
	1812 bp					
6262	KWMTBOMO06262	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC106712217_isoform_X2_[Papilio_machaon]	GO:0003676	F	nucleic acid binding
	1107 bp			GO:0008270	F	zinc ion binding
6263	KWMTBOMO06263	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC105841967_[Bombyx_mori]			
	639 bp					
6264	KWMTBOMO06264	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC106133670_[Amyelois_transitella]	GO:0046872	F	metal ion binding
	2355 bp					
6265	KWMTBOMO06265	Bomo_Chr11	PREDICTED:_nuclear_pore_complex_protein_Nup98-Nup96_isoform_X1_[Bombyx_mori]			
	2187 bp					
6266	KWMTBOMO06266	Bomo_Chr11	PREDICTED:_nuclear_pore_complex_protein_Nup98-Nup96_isoform_X1_[Bombyx_mori]	GO:0005643	C	nuclear pore
	678 bp			GO:0006810	P	transport
6267	KWMTBOMO06267	Bomo_Chr11	PREDICTED:_nuclear_pore_complex_protein_Nup98-Nup96_isoform_X1_[Bombyx_mori]			
	1335 bp					
6268	KWMTBOMO06268	Bomo_Chr11	PREDICTED:_nuclear_pore_complex_protein_Nup98-Nup96_isoform_X1_[Bombyx_mori]			
	981 bp					
6269	KWMTBOMO06269	Bomo_Chr11	PREDICTED:_zinc_finger_protein_600-like_[Amyelois_transitella]	GO:0046872	F	metal ion binding
	2721 bp					
6270	KWMTBOMO06270	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC106101681_[Papilio_polytes]			
	435 bp					
6271	KWMTBOMO06271	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101746790_[Bombyx_mori]			
	5931 bp					
6272	KWMTBOMO06272	Bomo_Chr11				
	483 bp					
6273	KWMTBOMO06273	Bomo_Chr11	PREDICTED:_zinc_finger_and_BTB_domain-containing_protein_11-like_isoform_X1_[Amyelois_transitella]	GO:0046872	F	metal ion binding
	1173 bp					
6274	KWMTBOMO06274	Bomo_Chr11	PREDICTED:_probable_cyclin-dependent_serine/threonine-protein_kinase_DDB_G0292550_isoform_X1_[Bombyx_mori]			
	1458 bp					
6275	KWMTBOMO06275	Bomo_Chr11	PREDICTED:_probable_cyclin-dependent_serine/threonine-protein_kinase_DDB_G0292550_isoform_X2_[Bombyx_mori]			
	207 bp					
6276	KWMTBOMO06276	Bomo_Chr11	PREDICTED:_myoneurin-like_isoform_X1_[Bombyx_mori]	GO:0046872	F	metal ion binding
	2109 bp			GO:0003677	F	DNA binding
				GO:0003676	F	nucleic acid binding
6277	KWMTBOMO06277	Bomo_Chr11	PREDICTED:_ras-related_protein_Rab-24-like_[Plutella_xylostella]	GO:0005525	F	GTP binding
	234 bp			GO:0007264	P	small GTPase mediated signal transduction
6278	KWMTBOMO06278	Bomo_Chr11	PREDICTED:_ras-related_protein_Rab-24-like_[Amyelois_transitella]	GO:0005525	F	GTP binding
	285 bp			GO:0007264	P	small GTPase mediated signal transduction
6279	KWMTBOMO06279	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC105841272_[Bombyx_mori]	GO:0004252	F	serine-type endopeptidase activity
	1335 bp			GO:0006508	P	proteolysis
6280	KWMTBOMO06280	Bomo_Chr11	hCG1806822_[Homo_sapiens]			
	843 bp					
6281	KWMTBOMO06281	Bomo_Chr11	PREDICTED:_nucleolysin_TIA-1_isoform_p40_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	570 bp			GO:0000166	F	nucleotide binding
6282	KWMTBOMO06282	Bomo_Chr11	"PREDICTED:_LOW_QUALITY_PROTEIN:_uncharacterized_protein_LOC105841899,_partial_[Bombyx_mori]"			
	1473 bp					
6283	KWMTBOMO06283	Bomo_Chr11	reverse_transcriptase_[Bombyx_mori]			
	1392 bp					
6284	KWMTBOMO06284	Bomo_Chr11	transposase_[Bombyx_mori]			
	435 bp					
6285	KWMTBOMO06285	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC106114566_[Papilio_xuthus]			
	1011 bp					
6286	KWMTBOMO06286	Bomo_Chr11	PREDICTED:_guanine_nucleotide-binding_protein-like_1_[Bombyx_mori]	GO:0005525	F	GTP binding
	2139 bp					
6287	KWMTBOMO06287	Bomo_Chr11	hypothetical_protein_KGM_17625_[Danaus_plexippus]			
	420 bp					
6288	KWMTBOMO06288	Bomo_Chr11	PREDICTED:_zinc_finger_protein_57-like_isoform_X1_[Amyelois_transitella]	GO:0046872	F	metal ion binding
	1587 bp			GO:0003676	F	nucleic acid binding
6289	KWMTBOMO06289	Bomo_Chr11	PREDICTED:_probable_galactose-1-phosphate_uridylyltransferase_[Amyelois_transitella]	GO:0003824	F	catalytic activity
	1053 bp			GO:0006012	P	galactose metabolic process
				GO:0008108	F	UDP-glucose:hexose-1-phosphate uridylyltransferase activity
				GO:0008270	F	zinc ion binding
6290	KWMTBOMO06290	Bomo_Chr11	PREDICTED:_probable_RNA-binding_protein_orb2_isoform_X2_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	855 bp			GO:0000166	F	nucleotide binding
6291	KWMTBOMO06291	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC106133714_[Amyelois_transitella]	GO:0046872	F	metal ion binding
	2259 bp					
6292	KWMTBOMO06292	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101736082_[Bombyx_mori]			
	7623 bp					
6293	KWMTBOMO06293	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101736082_[Bombyx_mori]			
	1287 bp					
6294	KWMTBOMO06294	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101736082_[Bombyx_mori]			
	585 bp					
6295	KWMTBOMO06295	Bomo_Chr11	PREDICTED:_LOW_QUALITY_PROTEIN:_regulator_of_G-protein_signaling_7_[Amyelois_transitella]	GO:0004871	F	signal transducer activity
	756 bp			GO:0005834	C	heterotrimeric G-protein complex
				GO:0007186	P	G-protein coupled receptor protein signaling pathway
6296	KWMTBOMO06296	Bomo_Chr11	PREDICTED:_regulator_of_G-protein_signaling_7_[Papilio_xuthus]			
	999 bp					
6297	KWMTBOMO06297	Bomo_Chr11	UDP-N-acetylhexosamine_pyrophosphorylase-like_protein_1_[Bombyx_mori]	GO:0008152	P	metabolic process
	1461 bp					
6298	KWMTBOMO06298	Bomo_Chr11	PREDICTED:_LOW_QUALITY_PROTEIN:_RNA_exonuclease_4_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	741 bp					
6299	KWMTBOMO06299	Bomo_Chr11	hypothetical_protein_NCLIV_003870_[Neospora_caninum_Liverpool]	GO:0003676	F	nucleic acid binding
	330 bp					
6300	KWMTBOMO06300	Bomo_Chr11	"PREDICTED:_alpha-1,6-mannosyl-glycoprotein_2-beta-N-acetylglucosaminyltransferase_isoform_X2_[Bombyx_mori]"	GO:0005795	C	Golgi stack
	1569 bp			GO:0008455	F	"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity"
				GO:0009312	P	oligosaccharide biosynthetic process
				GO:0016021	C	integral to membrane
6301	KWMTBOMO06301	Bomo_Chr11	Transposon_Tf2-8_polyprotein_[Thelohanellus_kitauei]	GO:0015074	P	DNA integration
	6234 bp			GO:0003676	F	nucleic acid binding
6302	KWMTBOMO06302	Bomo_Chr11	PREDICTED:_endoribonuclease_Dcr-1_[Papilio_polytes]	GO:0004525	F	ribonuclease III activity
	4494 bp			GO:0006396	P	RNA processing
				GO:0005515	F	protein binding
				GO:0016891	F	"endoribonuclease activity, producing 5'-phosphomonoesters"
6303	KWMTBOMO06303	Bomo_Chr11	T18197_reverse_transcriptase-like_protein_-_silkworm			
	1407 bp					
6304	KWMTBOMO06304	Bomo_Chr11	T18197_reverse_transcriptase-like_protein_-_silkworm			
	1137 bp					
6305	KWMTBOMO06305	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC105841924_[Bombyx_mori]			
	1767 bp					
6306	KWMTBOMO06306	Bomo_Chr11	T18197_reverse_transcriptase-like_protein_-_silkworm	GO:0046872	F	metal ion binding
	5847 bp					
6307	KWMTBOMO06307	Bomo_Chr11	PREDICTED:_mucin-2-like_[Amyelois_transitella]			
	444 bp					
6308	KWMTBOMO06308	Bomo_Chr11	reverse_transcriptase_[Bombyx_mori]	GO:0046872	F	metal ion binding
	6246 bp					
6309	KWMTBOMO06309	Bomo_Chr11	T18197_reverse_transcriptase-like_protein_-_silkworm			
	1902 bp					
6310	KWMTBOMO06310	Bomo_Chr11	PREDICTED:_heart-_and_neural_crest_derivatives-expressed_protein_2_isoform_X2_[Bombyx_mori]	GO:0046983	F	protein dimerization activity
	804 bp					
6311	KWMTBOMO06311	Bomo_Chr11	ribonuclease_E_[Moritella_viscosa]			
	3708 bp					
6312	KWMTBOMO06312	Bomo_Chr11	PREDICTED:_peroxidase-like_[Papilio_xuthus]	GO:0004601	F	peroxidase activity
	957 bp			GO:0006979	P	response to oxidative stress
				GO:0020037	F	heme binding
6313	KWMTBOMO06313	Bomo_Chr11	PREDICTED:_peroxidase-like_isoform_X1_[Papilio_xuthus]	GO:0004601	F	peroxidase activity
	417 bp			GO:0006979	P	response to oxidative stress
				GO:0020037	F	heme binding
6314	KWMTBOMO06314	Bomo_Chr11	"PREDICTED:_dihydroorotate_dehydrogenase_(quinone),_mitochondrial_isoform_X1_[Amyelois_transitella]"	GO:0003824	F	catalytic activity
	1173 bp			GO:0004152	F	dihydroorotate dehydrogenase activity
				GO:0006207	P	'de novo' pyrimidine base biosynthetic process
				GO:0016020	C	membrane
				GO:0005737	C	cytoplasm
				GO:0016627	F	"oxidoreductase activity, acting on the CH-CH group of donors"
6315	KWMTBOMO06315	Bomo_Chr11	"PREDICTED:_ATP_synthase_subunit_s,_mitochondrial_[Bombyx_mori]"			
	603 bp					
6316	KWMTBOMO06316	Bomo_Chr11	PREDICTED:_catenin_alpha_isoform_X2_[Papilio_xuthus]	GO:0007155	P	cell adhesion
	2757 bp			GO:0051015	F	actin filament binding
				GO:0045296	F	cadherin binding
6317	KWMTBOMO06317	Bomo_Chr11	hypothetical_protein_KGM_10034_[Danaus_plexippus]	GO:0046872	F	metal ion binding
	3870 bp					
6318	KWMTBOMO06318	Bomo_Chr11	PREDICTED:_adenylyltransferase_and_sulfurtransferase_MOCS3_isoform_X1_[Papilio_xuthus]	GO:0008641	F	small protein activating enzyme activity
	1260 bp					
6319	KWMTBOMO06319	Bomo_Chr11	PREDICTED:_transmembrane_protein_26_[Bombyx_mori]			
	597 bp					
6320	KWMTBOMO06320	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC105391048_[Plutella_xylostella]	GO:0015074	P	DNA integration
	3708 bp			GO:0003676	F	nucleic acid binding
				GO:0004190	F	aspartic-type endopeptidase activity
				GO:0006508	P	proteolysis
6321	KWMTBOMO06321	Bomo_Chr11	Alpha-esterase_40_[Operophtera_brumata]			
	1608 bp					
6322	KWMTBOMO06322	Bomo_Chr11				
	489 bp					
6323	KWMTBOMO06323	Bomo_Chr11	pancreatic_lipase_2_[Mamestra_configurata]	GO:0006629	P	lipid metabolic process
	1005 bp					
6324	KWMTBOMO06324	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101740721_[Bombyx_mori]			
	447 bp					
6325	KWMTBOMO06325	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101740721_[Bombyx_mori]			
	3426 bp					
6326	KWMTBOMO06326	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101740721_[Bombyx_mori]			
	2244 bp					
6327	KWMTBOMO06327	Bomo_Chr11	"PREDICTED:_4-hydroxybenzoate_polyprenyltransferase,_mitochondrial_[Papilio_xuthus]"	GO:0016021	C	integral to membrane
	1212 bp			GO:0016765	F	"transferase activity, transferring alkyl or aryl (other than methyl) groups"
				GO:0046872	F	metal ion binding
				GO:0004659	F	prenyltransferase activity
				GO:0006744	P	ubiquinone biosynthetic process
6328	KWMTBOMO06328	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101736794_isoform_X1_[Bombyx_mori]	GO:0006401	P	RNA catabolic process
	402 bp			GO:0032299	C	ribonuclease H2 complex
6329	KWMTBOMO06329	Bomo_Chr11	hypothetical_protein_KGM_10035_[Danaus_plexippus]	GO:0006974	P	response to DNA damage stimulus
	579 bp			GO:0051726	P	regulation of cell cycle
6330	KWMTBOMO06330	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC101740446_[Bombyx_mori]			
	1971 bp					
6331	KWMTBOMO06331	Bomo_Chr11	Motile_sperm_domain-containing_protein_[Operophtera_brumata]			
	1362 bp					
6332	KWMTBOMO06332	Bomo_Chr11	PREDICTED:_protein-lysine_N-methyltransferase_mettl10_[Papilio_polytes]	GO:0008168	F	methyltransferase activity
	648 bp					
6333	KWMTBOMO06333	Bomo_Chr11	PREDICTED:_histidine_triad_nucleotide-binding_protein_3-like_[Papilio_polytes]	GO:0003824	F	catalytic activity
	426 bp					
6334	KWMTBOMO06334	Bomo_Chr11	sericin_2_isoform_1_precursor_[Bombyx_mori]			
	5232 bp					
6335	KWMTBOMO06335	Bomo_Chr11	PREDICTED:_cell_division_cycle_25_isoform_X1_[Bombyx_mori]	GO:0000087	P	M phase of mitotic cell cycle
	1956 bp			GO:0004725	F	protein tyrosine phosphatase activity
				GO:0005622	C	intracellular
				GO:0006470	P	protein amino acid dephosphorylation
6336	KWMTBOMO06336	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC105841339_[Bombyx_mori]			
	1464 bp					
6337	KWMTBOMO06337	Bomo_Chr11	PREDICTED:_extensin-2-like_[Bombyx_mori]			
	3021 bp					
6338	KWMTBOMO06338	Bomo_Chr11	PREDICTED:_zinc_finger_protein_287-like_isoform_X1_[Bombyx_mori]			
	891 bp					
6339	KWMTBOMO06339	Bomo_Chr11	PREDICTED:_zinc_finger_protein_ZFP69B-like_isoform_X2_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	342 bp			GO:0046872	F	metal ion binding
6340	KWMTBOMO06340	Bomo_Chr11	PREDICTED:_zinc_finger_protein_287-like_isoform_X1_[Bombyx_mori]	GO:0003676	F	nucleic acid binding
	636 bp			GO:0046872	F	metal ion binding
6341	KWMTBOMO06341	Bomo_Chr11	PREDICTED:_mitochondrial_ribosome-associated_GTPase_2-like_[Amyelois_transitella]	GO:0005525	F	GTP binding
	1116 bp			GO:0000287	F	magnesium ion binding
				GO:0003924	F	GTPase activity
6342	KWMTBOMO06342	Bomo_Chr11	PREDICTED:_zinc_finger_protein_773-like_[Bombyx_mori]	GO:0046872	F	metal ion binding
	750 bp			GO:0003676	F	nucleic acid binding
6343	KWMTBOMO06343	Bomo_Chr11	PREDICTED:_zinc_finger_protein_773-like_[Bombyx_mori]			
	753 bp					
6344	KWMTBOMO06344	Bomo_Chr11	PREDICTED:_U1_small_nuclear_ribonucleoprotein_70_kDa_[Amyelois_transitella]	GO:0003676	F	nucleic acid binding
	1059 bp			GO:0000166	F	nucleotide binding
6345	KWMTBOMO06345	Bomo_Chr11	PREDICTED:_RNA_pseudouridylate_synthase_domain-containing_protein_1-like_isoform_X3_[Bombyx_mori]	GO:0001522	P	pseudouridine synthesis
	816 bp			GO:0003723	F	RNA binding
				GO:0009451	P	RNA modification
				GO:0009982	F	pseudouridine synthase activity
6346	KWMTBOMO06346	Bomo_Chr11	hypothetical_protein_RR46_02544_[Papilio_xuthus]			
	2043 bp					
6347	KWMTBOMO06347	Bomo_Chr11	PREDICTED:_serine/threonine-protein_kinase_ULK3-like_isoform_X2_[Papilio_xuthus]	GO:0004672	F	protein kinase activity
	1155 bp			GO:0005524	F	ATP binding
				GO:0006468	P	protein amino acid phosphorylation
6348	KWMTBOMO06348	Bomo_Chr11	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	1053 bp					
6349	KWMTBOMO06349	Bomo_Chr11	PREDICTED:_Kv_channel-interacting_protein_4-like_[Amyelois_transitella]	GO:0005509	F	calcium ion binding
	630 bp					
6350	KWMTBOMO06350	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC105842742_isoform_X1_[Bombyx_mori]			
	306 bp					
6351	KWMTBOMO06351	Bomo_Chr11	T18197_reverse_transcriptase-like_protein_-_silkworm			
	1161 bp					
6352	KWMTBOMO06352	Bomo_Chr11	hypothetical_protein_KGM_17495_[Danaus_plexippus]	GO:0005515	F	protein binding
	2970 bp					
6353	KWMTBOMO06353	Bomo_Chr11	Alanine_aminotransferase_1_[Papilio_xuthus]	GO:0009058	P	biosynthetic process
	1440 bp			GO:0030170	F	pyridoxal phosphate binding
				GO:0003824	F	catalytic activity
6354	KWMTBOMO06354	Bomo_Chr11	PREDICTED:_alanine_aminotransferase_1_[Plutella_xylostella]	GO:0009058	P	biosynthetic process
	1551 bp			GO:0030170	F	pyridoxal phosphate binding
				GO:0003824	F	catalytic activity
6355	KWMTBOMO06355	Bomo_Chr11	PREDICTED:_low-density_lipoprotein_receptor-related_protein_2_[Amyelois_transitella]	GO:0005515	F	protein binding
	13641 bp			GO:0005509	F	calcium ion binding
6356	KWMTBOMO06356	Bomo_Chr11	PREDICTED:_RNA-directed_DNA_polymerase_from_mobile_element_jockey-like_[Amyelois_transitella]			
	2064 bp					
6357	KWMTBOMO06357	Bomo_Chr11	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	2961 bp					
6358	KWMTBOMO06358	Bomo_Chr11	PREDICTED:_uncharacterized_protein_LOC105841662_[Bombyx_mori]			
	1521 bp					
6359	KWMTBOMO06359	Bomo_Chr11	PREDICTED:_protein_virilizer_isoform_X5_[Bombyx_mori]			
	5772 bp					
6360	KWMTBOMO06360	Bomo_Chr11	PREDICTED:_E3_ubiquitin-protein_ligase_ZNRF2_isoform_X1_[Amyelois_transitella]	GO:0005515	F	protein binding
	357 bp			GO:0008270	F	zinc ion binding
6361	KWMTBOMO06361	Bomo_Chr11	reverse_transcriptase_[Bombyx_mori]			
	2646 bp					
6362	KWMTBOMO06362	Bomo_Chr11	hypothetical_protein_KGM_15115_[Danaus_plexippus]			
	405 bp					
6363	KWMTBOMO06363	Bomo_Chr11	endonuclease_and_reverse_transcriptase-like_protein_[Bombyx_mori]			
	2184 bp					
6364	KWMTBOMO06364	Bomo_Chr11	hypothetical_protein_KGM_15116_[Danaus_plexippus]	GO:0016021	C	integral to membrane
	630 bp					
6365	KWMTBOMO06365	Bomo_Chr11	PREDICTED:_TATA_element_modulatory_factor_isoform_X2_[Bombyx_mori]			
	3363 bp					
6366	KWMTBOMO06366	Bomo_Chr11	PREDICTED:_serine/threonine-protein_kinase_SMG1-like_[Bombyx_mori]	GO:0005515	F	protein binding
	1638 bp					
6367	KWMTBOMO06367	Bomo_Chr11	PREDICTED:_serine/threonine-protein_kinase_SMG1-like_[Bombyx_mori]	GO:0016301	F	kinase activity
	1857 bp					
6368	KWMTBOMO06368	Bomo_Chr11	PREDICTED:_D(3)_dopamine_receptor-like_[Amyelois_transitella]	GO:0004930	F	G-protein coupled receptor activity
	1218 bp			GO:0007186	P	G-protein coupled receptor protein signaling pathway
				GO:0016021	C	integral to membrane
6369	KWMTBOMO06369	Bomo_Chr11	PREDICTED:_serine/threonine-protein_kinase_SMG1_[Bombyx_mori]	GO:0016301	F	kinase activity
	6750 bp			GO:0005488	F	binding
				GO:0000184	P	"mRNA catabolic process, nonsense-mediated decay"
				GO:0004674	F	protein serine/threonine kinase activity
				GO:0016310	P	phosphorylation
6370	KWMTBOMO06370	Bomo_Chr11	rRNA_processing_protein_RRP7_[Operophtera_brumata]	GO:0000166	F	nucleotide binding
	789 bp			GO:0003676	F	nucleic acid binding
6371	KWMTBOMO06371	Bomo_Chr11	hypothetical_protein_KGM_15110_[Danaus_plexippus]			
	1224 bp					
6372	KWMTBOMO06372	Bomo_Chr11	cleavage_and_polyadenylation_specific_factor_4_[Bombyx_mori]	GO:0046872	F	metal ion binding
	867 bp			GO:0003676	F	nucleic acid binding
				GO:0008270	F	zinc ion binding
6373	KWMTBOMO06373	Bomo_Chr11	ribosomal_protein_L7Ae_[Bombyx_mori]	GO:0003723	F	RNA binding
	393 bp			GO:0005730	C	nucleolus
				GO:0030529	C	ribonucleoprotein complex
				GO:0042254	P	ribosome biogenesis and assembly
6374	KWMTBOMO06374	Bomo_Chr11	PREDICTED:_chitobiosyldiphosphodolichol_beta-mannosyltransferase_[Plutella_xylostella]			
	909 bp					
6375	KWMTBOMO06375	Bomo_Chr11	PREDICTED:_RNA-binding_protein_40-like_[Plutella_xylostella]	GO:0000166	F	nucleotide binding
	573 bp			GO:0003676	F	nucleic acid binding
6376	KWMTBOMO06376	Bomo_Chr11	PREDICTED:_nucleolar_protein_11_[Papilio_machaon]			
	1734 bp					
6377	KWMTBOMO06377	Bomo_Chr11	alcohol_dehydrogenase_[Bombyx_mori]	GO:0006069	P	ethanol oxidation
	1131 bp			GO:0008270	F	zinc ion binding
				GO:0051903	F	S-(hydroxymethyl)glutathione dehydrogenase activity
				GO:0016491	F	oxidoreductase activity
6378	KWMTBOMO06378	Bomo_Chr11	PREDICTED:_uncharacterized_protein_C18orf8_[Bombyx_mori]	GO:0005515	F	protein binding
	1902 bp					
6379	KWMTBOMO06379	Bomo_Chr11	PREDICTED:_coiled-coil_and_C2_domain-containing_protein_2A_[Bombyx_mori]	GO:0005515	F	protein binding
	3426 bp					
6380	KWMTBOMO06380	Bomo_Chr11	PREDICTED:_coiled-coil_and_C2_domain-containing_protein_2A_[Bombyx_mori]			
	279 bp					
6381	KWMTBOMO06381	Bomo_Chr11	PREDICTED:_diphosphoinositol_polyphosphate_phosphohydrolase_1_[Amyelois_transitella]	GO:0016787	F	hydrolase activity
	486 bp					
6382	KWMTBOMO06382	Bomo_Chr11	PREDICTED:_disks_large-associated_protein_5_isoform_X3_[Bombyx_mori]			
	2235 bp					
6383	KWMTBOMO06383	Bomo_Chr11	PREDICTED:_netrin-B_isoform_X1_[Bombyx_mori]			
	1062 bp					
6384	KWMTBOMO06384	Bomo_Chr11	bombyxin_A-8_precursor_[Bombyx_mori]	GO:0005179	F	hormone activity
	270 bp			GO:0005576	C	extracellular region
				GO:0005615	C	extracellular space
				GO:0008083	F	growth factor activity
6385	KWMTBOMO06385	Bomo_Chr11	bombyxin_A-7_precursor_[Bombyx_mori]	GO:0005179	F	hormone activity
	279 bp			GO:0005576	C	extracellular region
				GO:0005615	C	extracellular space
				GO:0008083	F	growth factor activity
6386	KWMTBOMO06386	Bomo_Chr11	bombyxin_F-1_precursor_[Bombyx_mori]	GO:0005179	F	hormone activity
	288 bp			GO:0005576	C	extracellular region
				GO:0005615	C	extracellular space
				GO:0008083	F	growth factor activity
6387	KWMTBOMO06387	Bomo_Chr11	PREDICTED:_bombyxin_A-1_[Bombyx_mori]	GO:0005179	F	hormone activity
	279 bp			GO:0005576	C	extracellular region
